current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,previous_image,all_blanks_list
images/stimuli_labeled/coco_shared_494__brick_terraced_houses.jpg,0,0,0,0,0,blank,"[11, 21, 35]"
images/stimuli_labeled/coco_shared_20__children_reading_book.jpg,0,1,0,0,0,"brick
terraced
houses","[11, 21, 35]"
images/stimuli_labeled/coco_shared_961__stacked_cooking_books.jpg,0,2,0,0,0,"children
reading
book","[11, 21, 35]"
images/stimuli_labeled/extra42__empire_state_building.jpg,0,3,0,0,0,"stacked
cooking
books","[11, 21, 35]"
images/stimuli_labeled/coco_shared_679__bespectacled_man_outdoors.jpg,0,4,0,0,0,"empire
state
building","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_26304__cats_snuggling_together.jpg,0,5,0,0,0,"bespectacled
man
outdoors","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_36478__cluttered_antique_collection.jpg,0,6,0,0,0,"cats
snuggling
together","[11, 21, 35]"
images/stimuli_labeled/coco_shared_200__jeep_kites_beach.jpg,0,7,0,0,0,"cluttered
antique
collection","[11, 21, 35]"
images/stimuli_labeled/coco_shared_784__tropical_flower_arrangement.jpg,0,8,0,0,0,"jeep
kites
beach","[11, 21, 35]"
images/stimuli_labeled/coco_shared_558__kite_flying_family.jpg,0,9,0,0,0,"tropical
flower
arrangement","[11, 21, 35]"
images/stimuli_labeled/coco_shared_48__red_doubledecker_bus.jpg,0,10,0,0,0,"kite
flying
family","[11, 21, 35]"
blank.jpg,0,11,1,0,0,"red
doubledecker
bus","[11, 21, 35]"
images/stimuli_labeled/coco_shared_974__laptop_desk_lamp.jpg,0,12,0,0,0,blank,"[11, 21, 35]"
images/stimuli_labeled/coco_shared_1__chefs_pouring_sauce.jpg,0,13,0,0,0,"laptop
desk
lamp","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_39821__red_awning_people.jpg,0,14,0,0,0,"chefs
pouring
sauce","[11, 21, 35]"
images/stimuli_labeled/coco_shared_246__doubledecker_bus_parked.jpg,0,15,0,0,0,"red
awning
people","[11, 21, 35]"
images/stimuli_labeled/coco_shared_864__red_fire_hydrant.jpg,0,16,0,0,0,"doubledecker
bus
parked","[11, 21, 35]"
images/stimuli_labeled/coco_nonshared_47682__busy_chinatown_street.jpg,0,17,0,0,0,"red
fire
hydrant","[11, 21, 35]"
images/stimuli_labeled/coco_shared_126__beige_bathroom_vanity.jpg,0,18,0,0,0,"busy
chinatown
street","[11, 21, 35]"
images/stimuli_labeled/extra22__man_dog_stairs.jpg,0,19,0,0,0,"beige
bathroom
vanity","[11, 21, 35]"
images/stimuli_labeled/coco_shared_943__bird_over_beach.jpg,0,20,0,0,0,"man
dog
stairs","[11, 21, 35]"
blank.jpg,0,21,1,0,0,"bird
over
beach","[11, 21, 35]"
images/stimuli_labeled/coco_shared_925__clean_white_bathroom.jpg,0,22,0,0,0,blank,"[11, 21, 35]"
