5.4717 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7a30>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf79d0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.0039, -0.0039, -0.0039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7760>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9312bf0460>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='deg', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.4717 	EXP 	window1: backgroundImage = ''
5.4717 	EXP 	window1: backgroundFit = 'none'
5.4719 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.4722 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.4745 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.4750 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.5133 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.5135 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.5140 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.5145 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x7f9312cf7b50>
5.5288 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.5288 	EXP 	window1: recordFrameIntervals = False
5.6628 	EXP 	window1: recordFrameIntervals = True
5.9931 	EXP 	Screen (0) actual frame rate measured at 97.76Hz
5.9931 	EXP 	window1: recordFrameIntervals = False
5.9943 	EXP 	window1: mouseVisible = False
7.0286 	EXP 	replicate_nsd: status = STARTED
7.0291 	EXP 	window1: mouseVisible = False
7.0358 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
7.0359 	EXP 	window1: mouseVisible = False
7.0441 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([8.4, 8.4]), texRes=128.0, units='deg', win=Window(...))
7.0442 	EXP 	window1: mouseVisible = False
7.0480 	EXP 	Created polygon_3 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([ 1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([ 1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=3.0, name='polygon_3', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
7.0481 	EXP 	window1: mouseVisible = False
7.0508 	EXP 	Created polygon_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([ 1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([ 1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=3.0, name='polygon_4', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
7.0508 	EXP 	window1: mouseVisible = False
7.0518 	EXP 	Created text_7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='text_7', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
7.0518 	EXP 	window1: mouseVisible = False
7.0755 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='waiting for scanner…', units='deg', win=Window(...), wrapWidth=15.0)
7.0756 	EXP 	window1: mouseVisible = False
7.0792 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([8.4, 8.4]), texRes=128.0, units='deg', win=Window(...))
7.0792 	EXP 	window1: mouseVisible = False
7.0822 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([ 1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([ 1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=3.0, name='polygon', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
7.0822 	EXP 	window1: mouseVisible = False
7.0848 	EXP 	Created polygon_2 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([ 1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([ 1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=3.0, name='polygon_2', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='deg', vertices=ndarray(...), win=Window(...), windingRule=None)
7.0849 	EXP 	window1: mouseVisible = False
7.0858 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='deg', win=Window(...), wrapWidth=15.0)
7.0859 	EXP 	window1: mouseVisible = False
7.0882 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='waiting for scanner…', units='deg', win=Window(...), wrapWidth=15.0)
0.0155 	EXP 	text_6: height = 0.5
0.0155 	EXP 	text_6: height = 0.5
0.0155 	EXP 	text_6: height = 0.5
0.0155 	EXP 	text_6: text = 'Press any button to begin the practice trials.'
0.0155 	EXP 	text_6: autoDraw = True
2.4548 	EXP 	Imported practice_conditions_files/practice_participant3_.csv as conditions, 20 conditions, 3 params
2.4552 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
2.4553 	EXP 	New trial (rep=0, index=0): OrderedDict([('current_image', 'practice_images/paired_image_15_2.png'), ('trial_index', 0), ('is_blank_trial', 0)])
2.4671 	DATA 	Keypress: 2
2.4693 	EXP 	text_6: autoDraw = False
2.4693 	EXP 	image_2: image = 'practice_images/paired_image_15_2.png'
2.4693 	EXP 	image_2: autoDraw = True
2.4693 	EXP 	polygon_3: autoDraw = True
5.4648 	EXP 	image_2: autoDraw = False
6.4590 	EXP 	New trial (rep=0, index=1): OrderedDict([('current_image', 'practice_images/paired_image_20_2.png'), ('trial_index', 1), ('is_blank_trial', 0)])
6.4739 	EXP 	image_2: autoDraw = False
6.4739 	EXP 	polygon_3: autoDraw = False
6.4739 	EXP 	polygon_4: autoDraw = False
6.4739 	EXP 	image_2: image = 'practice_images/paired_image_20_2.png'
6.4739 	EXP 	image_2: autoDraw = True
6.4739 	EXP 	polygon_3: autoDraw = True
9.4769 	EXP 	image_2: autoDraw = False
10.4628 	EXP 	New trial (rep=0, index=2): OrderedDict([('current_image', 'practice_images/paired_image_28_1.png'), ('trial_index', 2), ('is_blank_trial', 0)])
10.4758 	EXP 	image_2: autoDraw = False
10.4758 	EXP 	polygon_3: autoDraw = False
10.4758 	EXP 	polygon_4: autoDraw = False
10.4758 	EXP 	image_2: image = 'practice_images/paired_image_28_1.png'
10.4758 	EXP 	image_2: autoDraw = True
10.4758 	EXP 	polygon_3: autoDraw = True
13.4752 	EXP 	image_2: autoDraw = False
14.4683 	EXP 	New trial (rep=0, index=3): OrderedDict([('current_image', 'practice_images/paired_image_6_2.png'), ('trial_index', 3), ('is_blank_trial', 0)])
14.4829 	EXP 	image_2: autoDraw = False
14.4829 	EXP 	polygon_3: autoDraw = False
14.4829 	EXP 	polygon_4: autoDraw = False
14.4829 	EXP 	image_2: image = 'practice_images/paired_image_6_2.png'
14.4829 	EXP 	image_2: autoDraw = True
14.4829 	EXP 	polygon_3: autoDraw = True
17.4848 	EXP 	image_2: autoDraw = False
18.1808 	DATA 	Keypress: escape
18.2955 	EXP 	replicate_nsd: status = STOPPED
18.3065 	EXP 	polygon_3: autoDraw = False
18.3066 	EXP 	replicate_nsd: status = STOPPED
18.3407 	EXP 	window1: mouseVisible = True
18.4200 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4201 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4202 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4202 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
18.4202 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
